,Car_Name,Year,Selling_Price,Present_Price,Driven_kms,Fuel_Type,Selling_type,Transmission
50,fortuner,2012,14.9,30.61,104707,Diesel,Dealer,Automatic
51,fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic
52,innova,2017,18.0,19.77,15000,Diesel,Dealer,Automatic
53,fortuner,2013,16.0,30.61,135000,Diesel,Individual,Automatic
54,innova,2005,2.75,10.21,90000,Petrol,Individual,Manual
55,corolla altis,2009,3.6,15.04,70000,Petrol,Dealer,Automatic
56,etios cross,2015,4.5,7.27,40534,Petrol,Dealer,Manual
57,corolla altis,2010,4.75,18.54,50000,Petrol,Dealer,Manual
58,etios g,2014,4.1,6.8,39485,Petrol,Dealer,Manual
59,fortuner,2014,19.99,35.96,41000,Diesel,Dealer,Automatic
60,corolla altis,2013,6.95,18.61,40001,Petrol,Dealer,Manual
61,etios cross,2015,4.5,7.7,40588,Petrol,Dealer,Manual
62,fortuner,2014,18.75,35.96,78000,Diesel,Dealer,Automatic
63,fortuner,2015,23.5,35.96,47000,Diesel,Dealer,Automatic
64,etios liva,2014,4.75,6.95,45000,Diesel,Dealer,Manual
65,innova,2017,19.75,23.15,11000,Petrol,Dealer,Automatic
66,fortuner,2010,9.25,20.45,59000,Diesel,Dealer,Manual
67,corolla altis,2011,4.35,13.74,88000,Petrol,Dealer,Manual
68,corolla altis,2016,14.25,20.91,12000,Petrol,Dealer,Manual
69,etios liva,2014,3.95,6.76,71000,Diesel,Dealer,Manual
70,corolla altis,2011,4.5,12.48,45000,Diesel,Dealer,Manual
71,corolla altis,2013,7.45,18.61,56001,Petrol,Dealer,Manual
72,etios liva,2011,2.65,5.71,43000,Petrol,Dealer,Manual
73,etios cross,2014,4.9,8.93,83000,Diesel,Dealer,Manual
74,etios g,2015,3.95,6.8,36000,Petrol,Dealer,Manual
75,corolla altis,2013,5.5,14.68,72000,Petrol,Dealer,Manual
76,corolla,2004,1.5,12.35,135154,Petrol,Dealer,Automatic
77,corolla altis,2010,5.25,22.83,80000,Petrol,Dealer,Automatic
78,fortuner,2012,14.5,30.61,89000,Diesel,Dealer,Automatic
79,corolla altis,2016,14.73,14.89,23000,Diesel,Dealer,Manual
80,etios gd,2015,4.75,7.85,40000,Diesel,Dealer,Manual
81,innova,2017,23.0,25.39,15000,Diesel,Dealer,Automatic
82,innova,2015,12.5,13.46,38000,Diesel,Dealer,Manual
83,innova,2005,3.49,13.46,197176,Diesel,Dealer,Manual
84,camry,2006,2.5,23.73,142000,Petrol,Individual,Automatic
85,corolla altis,2012,5.9,13.74,56000,Petrol,Dealer,Manual
86,etios liva,2013,3.45,6.05,47000,Petrol,Dealer,Manual
87,etios g,2014,4.75,6.76,40000,Petrol,Dealer,Manual
88,corolla altis,2009,3.8,18.61,62000,Petrol,Dealer,Manual
89,innova,2014,11.25,16.09,58242,Diesel,Dealer,Manual
90,innova,2005,3.51,13.7,75000,Petrol,Dealer,Manual
91,fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic
92,corolla altis,2008,4.0,22.78,89000,Petrol,Dealer,Automatic
93,corolla altis,2012,5.85,18.61,72000,Petrol,Dealer,Manual
94,innova,2016,20.75,25.39,29000,Diesel,Dealer,Automatic
95,corolla altis,2017,17.0,18.64,8700,Petrol,Dealer,Manual
96,corolla altis,2013,7.05,18.61,45000,Petrol,Dealer,Manual
97,fortuner,2010,9.65,20.45,50024,Diesel,Dealer,Manual
98,Royal Enfield Thunder,2016,1.75,1.9,3000,Petrol,Individual,Manual
99,UM Renegade Mojave,2017,1.7,1.82,1400,Petrol,Individual,Manual
100,KTM RC200,2017,1.65,1.78,4000,Petrol,Individual,Manual
101,Bajaj Dominar 400,2017,1.45,1.6,1200,Petrol,Individual,Manual
102,Royal Enfield Classic,2017,1.35,1.47,4100,Petrol,Individual,Manual
103,KTM RC390,2015,1.35,2.37,21700,Petrol,Individual,Manual
104,Hyosung GT250R,2014,1.35,3.45,16500,Petrol,Individual,Manual
105,Royal Enfield Thunder,2013,1.25,1.5,15000,Petrol,Individual,Manual
106,Royal Enfield Thunder,2016,1.2,1.5,18000,Petrol,Individual,Manual
107,Royal Enfield Classic,2017,1.2,1.47,11000,Petrol,Individual,Manual
108,KTM RC200,2016,1.2,1.78,6000,Petrol,Individual,Manual
109,Royal Enfield Thunder,2016,1.15,1.5,8700,Petrol,Individual,Manual
110,KTM 390 Duke,2014,1.15,2.4,7000,Petrol,Individual,Manual
111,Mahindra Mojo XT300,2016,1.15,1.4,35000,Petrol,Individual,Manual
112,Royal Enfield Classic,2015,1.15,1.47,17000,Petrol,Individual,Manual
113,Royal Enfield Classic,2015,1.11,1.47,17500,Petrol,Individual,Manual
114,Royal Enfield Classic,2013,1.1,1.47,33000,Petrol,Individual,Manual
115,Royal Enfield Thunder,2015,1.1,1.9,14000,Petrol,Individual,Manual
116,Royal Enfield Classic,2015,1.1,1.47,26000,Petrol,Individual,Manual
117,Royal Enfield Thunder,2013,1.05,1.9,5400,Petrol,Individual,Manual
118,Bajaj Pulsar RS200,2016,1.05,1.26,5700,Petrol,Individual,Manual
119,Royal Enfield Thunder,2011,1.05,1.5,6900,Petrol,Individual,Manual
120,Royal Enfield Bullet,2016,1.05,1.17,6000,Petrol,Individual,Manual
121,Royal Enfield Classic,2013,1.0,1.47,46500,Petrol,Individual,Manual
122,Royal Enfield Classic,2012,0.95,1.75,11500,Petrol,Individual,Manual
123,Royal Enfield Classic,2009,0.9,1.75,40000,Petrol,Individual,Manual
124,Bajaj Avenger 220,2017,0.9,0.95,1300,Petrol,Individual,Manual
125,Bajaj Avenger 150,2016,0.75,0.8,7000,Petrol,Individual,Manual
126,Honda CB Hornet,2017,0.8,0.87,3000,Petrol,Individual,Manual
127,Yamaha FZ S,2017,0.78,0.84,5000,Petrol,Individual,Manual
128,Honda CB Hornet,2017,0.75,0.87,11000,Petrol,Individual,Manual
129,Yamaha FZ 16,2015,0.75,0.82,18000,Petrol,Individual,Manual
130,Bajaj Avenger 220,2017,0.75,0.95,3500,Petrol,Individual,Manual
131,Bajaj Avenger 220,2016,0.72,0.95,500,Petrol,Individual,Manual
132,TVS Apache RTR,2017,0.65,0.81,11800,Petrol,Individual,Manual
133,Bajaj Pulsar 150,2015,0.65,0.74,5000,Petrol,Individual,Manual
134,Honda CBR 150,2014,0.65,1.2,23500,Petrol,Individual,Manual
135,Hero Extreme,2013,0.65,0.787,16000,Petrol,Individual,Manual
136,Honda CB Hornet,2016,0.6,0.87,15000,Petrol,Individual,Manual
137,Bajaj Avenger 220,2015,0.6,0.95,16600,Petrol,Individual,Manual
138,Honda CBR 150,2013,0.6,1.2,32000,Petrol,Individual,Manual
139,Bajaj Avenger 150,2016,0.6,0.8,20000,Petrol,Individual,Manual
140,Yamaha FZ ,2015,0.6,0.84,29000,Petrol,Individual,Manual
141,Yamaha FZ ,2016,0.6,0.84,25000,Petrol,Individual,Manual
142,Bajaj Pulsar ,2014,0.6,0.99,25000,Petrol,Individual,Manual
143,TVS Apache RTR,2012,0.6,0.81,19000,Petrol,Individual,Manual
144,Hero Extreme,2014,0.55,0.787,15000,Petrol,Individual,Manual
145,Yamaha FZ S,2015,0.55,0.84,58000,Petrol,Individual,Manual
146,Bajaj Pulsar 220,2010,0.52,0.94,45000,Petrol,Individual,Manual
147,Bajaj Pulsar 220,2016,0.51,0.94,24000,Petrol,Individual,Manual
148,TVS Apache RTR,2011,0.5,0.826,6000,Petrol,Individual,Manual
149,Hero Passion X,2016,0.5,0.55,31000,Petrol,Individual,Manual
150,Bajaj Pulsar NS,2012,0.5,0.99,13000,Petrol,Individual,Manual
151,Bajaj Pulsar NS,2013,0.5,0.99,45000,Petrol,Individual,Manual
152,Yamaha Fazer ,2014,0.5,0.88,8000,Petrol,Individual,Manual
153,Honda Activa 4G,2017,0.48,0.51,4300,Petrol,Individual,Automatic
154,TVS Sport ,2017,0.48,0.52,15000,Petrol,Individual,Manual
155,Yamaha FZ S,2015,0.48,0.84,23000,Petrol,Individual,Manual
156,Honda Dream Yuga,2017,0.48,0.54,8600,Petrol,Individual,Manual
157,Honda Activa 4G,2017,0.45,0.51,4000,Petrol,Individual,Automatic
158,Bajaj Avenger Street,2011,0.45,0.95,24000,Petrol,Individual,Manual
159,TVS Apache RTR,2014,0.45,0.826,23000,Petrol,Individual,Manual
160,Bajaj Pulsar NS,2012,0.45,0.99,14500,Petrol,Individual,Manual
161,Bajaj Avenger 220,2010,0.45,0.95,27000,Petrol,Individual,Manual
162,Hero Splender iSmart,2016,0.45,0.54,14000,Petrol,Individual,Manual
163,Activa 3g,2016,0.45,0.54,500,Petrol,Individual,Automatic
164,Hero Passion Pro,2016,0.45,0.55,1000,Petrol,Individual,Manual
165,TVS Apache RTR,2014,0.42,0.81,42000,Petrol,Individual,Manual
166,Honda CB Trigger,2013,0.42,0.73,12000,Petrol,Individual,Manual
167,Hero Splender iSmart,2015,0.4,0.54,14000,Petrol,Individual,Manual
168,Yamaha FZ S,2012,0.4,0.83,5500,Petrol,Individual,Manual
169,Hero Passion Pro,2015,0.4,0.55,6700,Petrol,Individual,Manual
170,Bajaj Pulsar 135,2014,0.4,0.64,13700,Petrol,Individual,Manual
171,Activa 4g,2017,0.4,0.51,1300,Petrol,Individual,Automatic
172,Honda CB Unicorn,2015,0.38,0.72,38600,Petrol,Individual,Manual
173,Hero Honda CBZ,2011,0.38,0.787,75000,Petrol,Individual,Manual
174,Honda Karizma,2011,0.35,1.05,30000,Petrol,Individual,Manual
175,Honda Activa 125,2016,0.35,0.57,24000,Petrol,Individual,Automatic
176,TVS Jupyter,2014,0.35,0.52,19000,Petrol,Individual,Automatic
177,Honda Karizma,2010,0.31,1.05,213000,Petrol,Individual,Manual
178,Hero Honda Passion,2012,0.3,0.51,60000,Petrol,Individual,Manual
179,Hero Splender Plus,2016,0.3,0.48,50000,Petrol,Individual,Manual
180,Honda CB Shine,2013,0.3,0.58,30000,Petrol,Individual,Manual
181,Bajaj Discover 100,2013,0.27,0.47,21000,Petrol,Individual,Manual
182,Bajaj Pulsar 150,2008,0.25,0.75,26000,Petrol,Individual,Manual
183,Suzuki Access 125,2008,0.25,0.58,1900,Petrol,Individual,Automatic
184,TVS Wego,2010,0.25,0.52,22000,Petrol,Individual,Automatic
185,Honda CB twister,2013,0.25,0.51,32000,Petrol,Individual,Manual
186,Hero Glamour,2013,0.25,0.57,18000,Petrol,Individual,Manual
187,Hero Super Splendor,2005,0.2,0.57,55000,Petrol,Individual,Manual
188,Bajaj Pulsar 150,2008,0.2,0.75,60000,Petrol,Individual,Manual
189,Bajaj Discover 125,2012,0.2,0.57,25000,Petrol,Individual,Manual
190,Hero Hunk,2007,0.2,0.75,49000,Petrol,Individual,Manual
191,Hero  Ignitor,2013,0.2,0.65,24000,Petrol,Individual,Manual
192,Hero  CBZ,2008,0.2,0.787,50000,Petrol,Individual,Manual
193,Bajaj  ct,2015,0.18,0.32,35000,Petrol,Individual,Manual
194,Activa 3g,2008,0.17,0.52,500000,Petrol,Individual,Automatic
195,Honda CB twister,2010,0.16,0.51,33000,Petrol,Individual,Manual
196,Bajaj Discover 125,2011,0.15,0.57,35000,Petrol,Individual,Manual
197,Honda CB Shine,2007,0.12,0.58,53000,Petrol,Individual,Manual
198,Bajaj Pulsar 150,2006,0.1,0.75,92233,Petrol,Individual,Manual
199,i20,2010,3.25,6.79,58000,Diesel,Dealer,Manual
200,grand i10,2015,4.4,5.7,28200,Petrol,Dealer,Manual
201,i10,2011,2.95,4.6,53460,Petrol,Dealer,Manual
202,eon,2015,2.75,4.43,28282,Petrol,Dealer,Manual
203,grand i10,2016,5.25,5.7,3493,Petrol,Dealer,Manual
204,xcent,2017,5.75,7.13,12479,Petrol,Dealer,Manual
205,grand i10,2015,5.15,5.7,34797,Petrol,Dealer,Automatic
206,i20,2017,7.9,8.1,3435,Petrol,Dealer,Manual
207,grand i10,2015,4.85,5.7,21125,Diesel,Dealer,Manual
208,i10,2012,3.1,4.6,35775,Petrol,Dealer,Manual
209,elantra,2015,11.75,14.79,43535,Diesel,Dealer,Manual
210,creta,2016,11.25,13.6,22671,Petrol,Dealer,Manual
211,i20,2011,2.9,6.79,31604,Petrol,Dealer,Manual
212,grand i10,2017,5.25,5.7,20114,Petrol,Dealer,Manual
213,verna,2012,4.5,9.4,36100,Petrol,Dealer,Manual
214,eon,2016,2.9,4.43,12500,Petrol,Dealer,Manual
215,eon,2016,3.15,4.43,15000,Petrol,Dealer,Manual
216,verna,2014,6.45,8.4,45078,Petrol,Dealer,Manual
217,verna,2012,4.5,9.4,36000,Petrol,Dealer,Manual
218,eon,2017,3.5,5.43,38488,Petrol,Dealer,Manual
219,i20,2013,4.5,6.79,32000,Petrol,Dealer,Automatic
220,i20,2014,6.0,7.6,77632,Diesel,Dealer,Manual
221,verna,2015,8.25,9.4,61381,Diesel,Dealer,Manual
222,verna,2013,5.11,9.4,36198,Petrol,Dealer,Automatic
223,i10,2011,2.7,4.6,22517,Petrol,Dealer,Manual
224,grand i10,2015,5.25,5.7,24678,Petrol,Dealer,Manual
225,i10,2011,2.55,4.43,57000,Petrol,Dealer,Manual
226,verna,2012,4.95,9.4,60000,Diesel,Dealer,Manual
227,i20,2012,3.1,6.79,52132,Diesel,Dealer,Manual
228,verna,2013,6.15,9.4,45000,Diesel,Dealer,Manual
229,verna,2017,9.25,9.4,15001,Petrol,Dealer,Manual
230,elantra,2015,11.45,14.79,12900,Petrol,Dealer,Automatic
231,grand i10,2013,3.9,5.7,53000,Diesel,Dealer,Manual
232,grand i10,2015,5.5,5.7,4492,Petrol,Dealer,Manual
233,verna,2017,9.1,9.4,15141,Petrol,Dealer,Manual
234,eon,2016,3.1,4.43,11849,Petrol,Dealer,Manual
235,creta,2015,11.25,13.6,68000,Diesel,Dealer,Manual
236,verna,2013,4.8,9.4,60241,Petrol,Dealer,Manual
237,eon,2012,2.0,4.43,23709,Petrol,Dealer,Manual
238,verna,2012,5.35,9.4,32322,Diesel,Dealer,Manual
239,xcent,2015,4.75,7.13,35866,Petrol,Dealer,Manual
240,xcent,2014,4.4,7.13,34000,Petrol,Dealer,Manual
241,i20,2016,6.25,7.6,7000,Petrol,Dealer,Manual
242,verna,2013,5.95,9.4,49000,Diesel,Dealer,Manual
243,verna,2012,5.2,9.4,71000,Diesel,Dealer,Manual
244,i20,2012,3.75,6.79,35000,Petrol,Dealer,Manual
245,verna,2015,5.95,9.4,36000,Petrol,Dealer,Manual
246,i10,2013,4.0,4.6,30000,Petrol,Dealer,Manual
247,i20,2016,5.25,7.6,17000,Petrol,Dealer,Manual
248,creta,2016,12.9,13.6,35934,Diesel,Dealer,Manual
249,city,2013,5.0,9.9,56701,Petrol,Dealer,Manual
250,brio,2015,5.4,6.82,31427,Petrol,Dealer,Automatic
251,city,2014,7.2,9.9,48000,Diesel,Dealer,Manual
252,city,2013,5.25,9.9,54242,Petrol,Dealer,Manual
253,brio,2012,3.0,5.35,53675,Petrol,Dealer,Manual
254,city,2016,10.25,13.6,49562,Petrol,Dealer,Manual
255,city,2015,8.5,13.6,40324,Petrol,Dealer,Manual
256,city,2015,8.4,13.6,25000,Petrol,Dealer,Manual
257,amaze,2014,3.9,7.0,36054,Petrol,Dealer,Manual
258,city,2016,9.15,13.6,29223,Petrol,Dealer,Manual
259,brio,2016,5.5,5.97,5600,Petrol,Dealer,Manual
260,amaze,2015,4.0,5.8,40023,Petrol,Dealer,Manual
261,jazz,2016,6.6,7.7,16002,Petrol,Dealer,Manual
262,amaze,2015,4.0,7.0,40026,Petrol,Dealer,Manual
263,jazz,2017,6.5,8.7,21200,Petrol,Dealer,Manual
264,amaze,2014,3.65,7.0,35000,Petrol,Dealer,Manual
265,city,2016,8.35,9.4,19434,Diesel,Dealer,Manual
266,brio,2017,4.8,5.8,19000,Petrol,Dealer,Manual
267,city,2015,6.7,10.0,18828,Petrol,Dealer,Manual
268,city,2011,4.1,10.0,69341,Petrol,Dealer,Manual
269,city,2009,3.0,10.0,69562,Petrol,Dealer,Manual
270,city,2015,7.5,10.0,27600,Petrol,Dealer,Manual
271,jazz,2010,2.25,7.5,61203,Petrol,Dealer,Manual
272,brio,2014,5.3,6.8,16500,Petrol,Dealer,Manual
273,city,2016,10.9,13.6,30753,Petrol,Dealer,Automatic
274,city,2015,8.65,13.6,24800,Petrol,Dealer,Manual
275,city,2015,9.7,13.6,21780,Petrol,Dealer,Manual
276,jazz,2016,6.0,8.4,4000,Petrol,Dealer,Manual
277,city,2014,6.25,13.6,40126,Petrol,Dealer,Manual
278,brio,2015,5.25,5.9,14465,Petrol,Dealer,Manual
279,city,2006,2.1,7.6,50456,Petrol,Dealer,Manual
280,city,2014,8.25,14.0,63000,Diesel,Dealer,Manual
281,city,2016,8.99,11.8,9010,Petrol,Dealer,Manual
282,brio,2013,3.5,5.9,9800,Petrol,Dealer,Manual
283,jazz,2016,7.4,8.5,15059,Petrol,Dealer,Automatic
284,jazz,2016,5.65,7.9,28569,Petrol,Dealer,Manual
285,amaze,2015,5.75,7.5,44000,Petrol,Dealer,Automatic
286,city,2015,8.4,13.6,34000,Petrol,Dealer,Manual
287,city,2016,10.11,13.6,10980,Petrol,Dealer,Manual
288,amaze,2014,4.5,6.4,19000,Petrol,Dealer,Manual
289,brio,2015,5.4,6.1,31427,Petrol,Dealer,Manual
290,jazz,2016,6.4,8.4,12000,Petrol,Dealer,Manual
291,city,2010,3.25,9.9,38000,Petrol,Dealer,Manual
292,amaze,2014,3.75,6.8,33019,Petrol,Dealer,Manual
293,city,2015,8.55,13.09,60076,Diesel,Dealer,Manual
294,city,2016,9.5,11.6,33988,Diesel,Dealer,Manual
295,brio,2015,4.0,5.9,60000,Petrol,Dealer,Manual
296,city,2009,3.35,11.0,87934,Petrol,Dealer,Manual
297,city,2017,11.5,12.5,9000,Diesel,Dealer,Manual
298,brio,2016,5.3,5.9,5464,Petrol,Dealer,Manual
